RA,CÓDIFO DE TURMA,TURMA INDEFERIDA,MOTIVO,NOME_TURMA,TURNO,CAMPOS,ANO_INGRESSO
11006311,NAESTG003-17SB,Economia de Empresas A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Economia de Empresas,N,SB,2011
11006312,NA1MCTA025-13SA,Sistemas Distribuídos A1-Noturno (Santo André),Critério de preenchimento de vagas,Sistemas Distribuídos,N,SA,2012
11006312,NA3MCTA024-13SA,Sistemas Digitais A3-Noturno (Santo André),Critério de preenchimento de vagas,Sistemas Digitais,N,SA,2012
11006316,DA3BCJ0203-15SA,Fenômenos Eletromagnéticos A3-Matutino (Santo André),Critério de preenchimento de vagas,Fenômenos Eletromagnéticos,D,SA,2016
11006413,DAMCTA014-15SA,Inteligência Artificial A-Matutino (Santo André),Critério de preenchimento de vagas,Inteligência Artificial,D,SA,2013
11006515,NAESTA021-17SA,Introdução ao Controle Discreto A-Noturno (Santo André),Critério de preenchimento de vagas,Introdução ao Controle Discreto,N,SA,2015
11006515,NAESTS013-17SB,Projeto de Elementos Estruturais de Aeronaves I A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Projeto de Elementos Estruturais de Aeronaves I,N,SB,2015
11006616,DAESTG023-17SB,Organização do Trabalho A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Organização do Trabalho,D,SB,2016
11006616,DBESTG020-17SB,Sistemas e Processos de Produção B-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas e Processos de Produção,D,SB,2016
11007011,NAESTU038-17SA,Tratamento de Águas Urbanas Servidas A-Noturno (Santo André),Critério de preenchimento de vagas,Tratamento de Águas Urbanas Servidas,N,SA,2011
11007016,NAESZM032-17SA,Biomateriais A-Noturno (Santo André),Critério de preenchimento de vagas,Biomateriais,N,SA,2016
11007212,NAESTO012-17SA,Princípios de Administração A-Noturno (Santo André),Critério de preenchimento de vagas,Princípios de Administração,N,SA,2012
11007315,NA2ESTG021-17SB,Sistemas CAD/CAE A2-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas CAD/CAE,N,SB,2015
11007315,NAESZG037-17SB,Inovação Estratégica A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Inovação Estratégica,N,SB,2015
11007315,NAESTG002-17SB,Desenvolvimento Integrado do Produto A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Desenvolvimento Integrado do Produto,N,SB,2015
11007315,DAESTS010-17SB,Técnicas de Análise Estrutural e Projeto A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Técnicas de Análise Estrutural e Projeto,D,SB,2015
11007516,DAESTO012-17SA,Princípios de Administração A-Matutino (Santo André),Critério de preenchimento de vagas,Princípios de Administração,D,SA,2016
11007716,NB2BCM0506-15SA,Comunicação e Redes B2-Noturno (Santo André),Critério de preenchimento de vagas,Comunicação e Redes,N,SA,2016
11007815,NCESTO902-17SB,Engenharia Unificada I C-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Engenharia Unificada I,N,SB,2015
11007815,NAESTO008-17SA,Mecânica dos Sólidos I A-Noturno (Santo André),Critério de preenchimento de vagas,Mecânica dos Sólidos I,N,SA,2015
11007816,NANHI5015-15SB,LIBRAS A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,LIBRAS,N,SB,2016
11007914,NAESTU039-17SA,Regulação Ambiental e Urbanística A-Noturno (Santo André),Critério de preenchimento de vagas,Regulação Ambiental e Urbanística,N,SA,2014
11007914,NAESZA017-17SA,Lógica Programável A-Noturno (Santo André),Critério de preenchimento de vagas,Lógica Programável,N,SA,2014
11008015,DB1BCK0104-15SA,Interações Atômicas e Moleculares B1-Matutino (Santo André),Critério de preenchimento de vagas,Interações Atômicas e Moleculares,D,SA,2015
11008114,NAESZM032-17SA,Biomateriais A-Noturno (Santo André),Critério de preenchimento de vagas,Biomateriais,N,SA,2014
11008315,NAESTG013-17SB,Pesquisa Operacional A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Pesquisa Operacional,N,SB,2015
11008315,DAESTG005-17SB,Engenharia Econômica Aplicada a Sistemas de Gestão A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Engenharia Econômica Aplicada a Sistemas de Gestão,D,SB,2015
11008315,NAESZU002-17SA,Compostagem A-Noturno (Santo André),Critério de preenchimento de vagas,Compostagem,N,SA,2015
11008316,NAESTA019-17SA,Projeto Assistido por Computador A-Noturno (Santo André),Critério de preenchimento de vagas,Projeto Assistido por Computador,N,SA,2016
11008413,NAESTM006-17SA,Materiais Poliméricos A-Noturno (Santo André),Critério de preenchimento de vagas,Materiais Poliméricos,N,SA,2013
11008413,NAESZM032-17SA,Biomateriais A-Noturno (Santo André),Critério de preenchimento de vagas,Biomateriais,N,SA,2013
11008413,NCESTO902-17SB,Engenharia Unificada I C-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Engenharia Unificada I,N,SB,2013
